uid,comp_key,fom_ref,rank_mean,rank_entropy
2BrCdCuS-1,Br1-Cd1-Cu1-S1,2614.3895639959,105.908,0.7568480219046239
2FSi-1,F1-Si1,2616.1681554216816,106.661,0.7595117793040568
1PbTe-1,Pb1-Te1,2614.617063698494,106.906,0.7555438669038272
2CdClCuS-1,Cd1-Cl1-Cu1-S1,2613.31412623891,107.964,0.7601852294034395
2GaSSi-1,Ga1-S1-Si1,2617.3892568466968,108.172,0.7598351311378714
1AlCdInS4-1,Al1-Cd1-In1-S4,2605.547370110847,109.517,0.7631558254151231
1STa2Te2-1,S1-Ta2-Te2,8029.746836657724,110.429,0.5590171590062105
2ClNTi-1,Cl1-N1-Ti1,2588.9893023469936,111.3575,0.7648346875300939
1MgIn2S4-1,In2-Mg1-S4,2590.7848861026773,111.5675,0.7663975704002386
1GaInS2-1,Ga1-In1-S2,2565.779683589314,112.6835,0.7610910000959443
2Ga2Se3-1,Ga2-Se3,2575.0404500968984,114.215,0.763554496537589
2InSbO3-1,In1-O3-Sb1,2564.263876773646,114.5745,0.7648472477729045
2IZn-1,I1-Zn1,2555.04280153631,114.8535,0.7682058361732728
1MgAl2S4-1,Al2-Mg1-S4,2557.826103716552,115.634,0.7642512883008329
1Ga2Te5-1,Ga2-Te5,2544.030090132372,117.9625,0.7689347739213674
1GeI2-1,Ge1-I2,2536.6027926092725,119.2325,0.7731439203365398
2AlSiS3-1,Al1-S3-Si1,2515.4784520931325,119.5075,0.7678009057791312
1Al2Mg2S5-1,Al2-Mg2-S5,2525.0412422180325,121.1375,0.7739828675231982
2P-1,P1,2513.180524971532,121.7635,0.7715606553174919
1SSeGe2-1,Ge2-S1-Se1,2530.9797903078,122.4005,0.7713730054969583
2InS-1,In1-S1,2510.1753019300672,122.409,0.7730856965152154
1N2O2Hf3-1,Hf3-N2-O2,3354.552164286194,122.8395,0.7721308150304084
1NiPd3Se8-1,Ni1-Pd3-Se8,2855.1267064890903,123.9815,0.8419799194356665
1In2Mg2S5-1,In2-Mg2-S5,2501.773176472675,125.5675,0.7768484785652012
2CuHgIS-1,Cu1-Hg1-I1-S1,2486.9855884230296,125.9545,0.7760504479620662
2BrNTi-1,Br1-N1-Ti1,2497.5496146450455,126.4935,0.7781778719473705
2PZnS3-1,P1-S3-Zn1,2479.1380496596366,127.579,0.7782113242995446
2BrCuHgS-1,Br1-Cu1-Hg1-S1,2469.41820523315,128.164,0.776440359880039
2CdPS3-1,Cd1-P1-S3,2475.0838060785754,129.494,0.7815114643830435
2HSi-1,H1-Si1,2447.658081251702,131.3575,0.7771887341585235
4SiAs2-1,As2-Si1,2446.1505299390833,134.225,0.7824856973619392
2BrGa-1,Br1-Ga1,2434.4715457860193,135.1595,0.7840389361132718
2HfIN-1,Hf1-I1-N1,2432.0397777146077,136.058,0.7825485838201853
1PtS2-1,Pt1-S2,2430.075855181547,137.2095,0.7850996677216814
4P-1,P1,2432.3058537153797,137.4385,0.7872675305036214
2BrInTe-1,Br1-In1-Te1,2401.4970910972957,139.6245,0.7851199837073753
2InSSi-1,In1-S1-Si1,2417.8143004032545,140.4405,0.7817466428112928
2InSiS3-1,In1-S3-Si1,2425.6971284667547,140.53,0.7852721855775058
1SiS2-2,S2-Si1,2396.2105228277073,143.0075,0.7877665771062093
2In2S3-1,In2-S3,2399.7766650488243,143.263,0.7849347262236925
2GePS3-1,Ge1-P1-S3,2387.411307769686,143.3945,0.7881983896213011
1Bi2S3-1,Bi2-S3,2325.2556786308396,143.7955,0.8301322626039286
1PbSe2-1,Pb1-Se2,2374.559337097316,144.7515,0.7899331399541097
2ClInTe-1,Cl1-In1-Te1,2372.0271079016347,145.012,0.7916556824087341
2MgI2-1,I2-Mg1,2381.8361086899276,145.21,0.7887284504863842
1GaInTe2-1,Ga1-In1-Te2,2376.9438204151925,146.3395,0.784906094409157
1SnI2-1,I2-Sn1,2365.9349625158015,147.397,0.7894379421232672
1STeGe2-1,Ge2-S1-Te1,2381.8789031012284,148.4795,0.8057909160736367
1AgAlP2Se6-1,Ag1-Al1-P2-Se6,2356.5451156238737,151.631,0.7942470218173875
